dx = [-2.250000:1.500000]  xc = 0.592571  a = 0.753171  b = 0.106964  S = 1.993244
dx = [-2.000000:1.500000]  xc = 0.592552  a = 0.753068  b = 0.107099  S = 1.924879
dx = [-1.750000:1.500000]  xc = 0.592579  a = 0.753231  b = 0.106901  S = 1.830794
dx = [-1.500000:1.500000]  xc = 0.592614  a = 0.750179  b = 0.106189  S = 1.899098
dx = [-1.250000:1.500000]  xc = 0.592576  a = 0.751934  b = 0.106734  S = 1.814370
dx = [-1.000000:1.500000]  xc = 0.592674  a = 0.743991  b = 0.104904  S = 2.452771
dx = [-0.750000:1.500000]  xc = 0.592487  a = 0.765772  b = 0.109090  S = 1.340344
dx = [-2.250000:1.250000]  xc = 0.592619  a = 0.752468  b = 0.106216  S = 1.505830
dx = [-2.000000:1.250000]  xc = 0.592614  a = 0.751235  b = 0.106088  S = 1.466872
dx = [-1.750000:1.250000]  xc = 0.592706  a = 0.745978  b = 0.104584  S = 1.572699
dx = [-1.500000:1.250000]  xc = 0.592631  a = 0.749396  b = 0.105670  S = 1.225759
dx = [-1.250000:1.250000]  xc = 0.592641  a = 0.748942  b = 0.105510  S = 1.111906
dx = [-1.000000:1.250000]  xc = 0.592620  a = 0.753209  b = 0.106271  S = 0.970938
dx = [-0.750000:1.250000]  xc = 0.592658  a = 0.747875  b = 0.105203  S = 1.071718
dx = [-2.000000:1.000000]  xc = 0.592648  a = 0.752172  b = 0.105760  S = 1.389450
dx = [-1.750000:1.000000]  xc = 0.592687  a = 0.749537  b = 0.105055  S = 1.153121
dx = [-1.500000:1.000000]  xc = 0.592708  a = 0.747566  b = 0.104459  S = 1.076691
dx = [-1.250000:1.000000]  xc = 0.592696  a = 0.748764  b = 0.104787  S = 0.917312
dx = [-1.000000:1.000000]  xc = 0.592686  a = 0.748386  b = 0.104841  S = 0.735622
dx = [-0.750000:1.000000]  xc = 0.592681  a = 0.747518  b = 0.104777  S = 0.731575
dx = [-2.250000:0.750000]  xc = 0.592631  a = 0.752109  b = 0.106057  S = 1.495213
dx = [-2.000000:0.750000]  xc = 0.592653  a = 0.751441  b = 0.105609  S = 1.398470
dx = [-1.750000:0.750000]  xc = 0.592664  a = 0.751087  b = 0.105354  S = 1.293971
dx = [-1.500000:0.750000]  xc = 0.592648  a = 0.753346  b = 0.105759  S = 0.999534
dx = [-1.250000:0.750000]  xc = 0.592664  a = 0.751839  b = 0.105348  S = 0.925055
dx = [-1.000000:0.750000]  xc = 0.592689  a = 0.749151  b = 0.104670  S = 0.767656
dx = [-0.750000:0.750000]  xc = 0.592709  a = 0.746708  b = 0.104098  S = 0.769959
